Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-06,528.4197303527358,543.8069094723321,527.0435545654924,535.699462890625,1981800,0.0,0.0
2025-01-07,538.0230509773046,549.8601112472526,536.7865012573144,544.1360473632812,1839300,0.0,0.0
2025-01-08,542.8695679884521,546.2601586939458,536.7565714186829,543.4180297851562,1837800,0.0,0.0
2025-01-10,540.2568360612023,555.6140705203231,539.8080724633413,540.8052978515625,2919900,0.0,0.0
2025-01-13,542.6701354022523,560.759819583882,540.1670897965602,553.9786987304688,2269900,0.0,0.0
2025-01-14,555.9531747837212,559.8423782899671,549.8501600481853,555.444580078125,2207400,0.0,0.0
2025-01-15,556.3321294820606,562.2456689963929,542.550466692846,549.9398803710938,3251300,0.0,0.0
2025-01-16,549.5909056032008,560.2512484953573,544.9039336404812,560.1515502929688,1835500,0.0,0.0
2025-01-17,560.8994299912123,563.4323606388532,557.558688324576,558.0972290039062,2140100,0.0,0.0
2025-01-21,562.5348094354957,574.7707842582424,560.9991042703841,571.469970703125,2311500,0.0,0.0
2025-01-22,569.0966636644799,577.9620133197787,568.4185576014148,572.995849609375,1702500,0.0,0.0
2025-01-23,574.3519893576811,575.0599804474925,561.0889035248456,573.2550048828125,1246300,0.0,0.0
2025-01-24,571.7990726731633,575.9674674389106,570.2134575451428,573.22509765625,1156500,0.0,0.0
2025-01-27,578.051631519226,582.4693934727268,571.539781499673,582.0206298828125,1727800,0.0,0.0
2025-01-28,594.2465944679143,595.3435179771623,577.4034441505164,582.6687622070312,2156800,0.0,0.0
2025-01-29,573.3547678252219,575.4290137427789,565.1276581041514,566.6533813476562,2884300,0.0,0.0
2025-01-30,588.9612862809207,609.2747624436186,588.3629753980252,605.0565185546875,3349700,0.0,0.0
2025-01-31,598.2056047093389,603.3712250541276,595.3435726381156,596.0914916992188,2165700,0.0,0.0
2025-02-03,591.4843251992402,598.744094692111,587.7247658445082,592.1026000976562,2135600,0.0,0.0
2025-02-04,583.9652585493881,590.2178205233798,575.2494572801045,578.9591674804688,2097400,0.0,0.0
2025-02-05,587.9840008533972,588.4527284140149,576.2965490692385,580.7640991210938,1348800,0.0,0.0
2025-02-06,580.3253424985182,582.449437436065,566.7929867314346,571.1209716796875,2034100,0.0,0.0
2025-02-07,573.1852127002178,575.8776724375969,564.8783085384999,569.8843383789062,1826900,0.0,0.0
2025-02-10,558.5458905175485,561.7968548757099,542.5005688263597,551.3259887695312,2972000,0.0,0.0
2025-02-11,548.962578213534,552.4030178757224,540.4761806687379,543.7171630859375,2234300,0.0,0.0
2025-02-12,537.5942656464639,540.4762007836183,530.7233680584935,536.5072631835938,2062200,0.0,0.0
2025-02-13,538.5017350053984,538.6812282798362,529.7361453417244,531.1621704101562,1915400,0.0,0.0
2025-02-14,533.6153113097535,535.968809618131,529.8358487846363,530.3743286132812,1517100,0.0,0.0
2025-02-18,530.1847781297696,531.5709359095629,519.6042322663911,521.6386108398438,2969600,0.0,0.0
2025-02-19,519.7738170663205,531.1222474961703,518.5572312393865,529.3870849609375,1965200,0.0,0.0
2025-02-20,532.2990177476798,541.8723575024989,532.109542481879,536.3377685546875,1967800,0.0,0.0
2025-02-21,536.8662649775815,541.114455024889,530.5239258849467,531.0723876953125,1613900,0.0,0.0
